"id";"name";"lat";"lng";"geom"
60660466;Медведково;55.8871805;37.6614355;"POINT (37.6614355 55.8871805)"
68916801;Партизанская;55.7886007;37.7509817;"POINT (37.7509817 55.7886007)"
242546356;Бауманская;55.7731188;37.6804;"POINT (37.6804 55.7731188)"
242546475;Площадь Революции;55.7567678;37.6218635;"POINT (37.6218635 55.7567678)"
244036218;Кунцевская;55.7307016;37.4460094;"POINT (37.4460094 55.7307016)"
252934400;Кузнецкий Мост;55.7607176;37.6260335;"POINT (37.6260335 55.7607176)"
252934401;Китай-город;55.7555181;37.633321;"POINT (37.633321 55.7555181)"
253016893;Текстильщики;55.7087389;37.7318594;"POINT (37.7318594 55.7087389)"
253016895;Выхино;55.7156286;37.8179145;"POINT (37.8179145 55.7156286)"
253017004;Рязанский проспект;55.7171022;37.7935119;"POINT (37.7935119 55.7171022)"
253228506;Александровский сад;55.7524289;37.6087611;"POINT (37.6087611 55.7524289)"
253375111;Киевская;55.7437596;37.5656092;"POINT (37.5656092 55.7437596)"
253780238;Славянский бульвар;55.7296513;37.4707311;"POINT (37.4707311 55.7296513)"
255744331;Новогиреево;55.7517135;37.8167171;"POINT (37.8167171 55.7517135)"
255744578;Шоссе Энтузиастов;55.7574684;37.7493161;"POINT (37.7493161 55.7574684)"
266835841;Речной вокзал;55.8548609;37.4762048;"POINT (37.4762048 55.8548609)"
266835844;Водный стадион;55.8400444;37.4865846;"POINT (37.4865846 55.8400444)"
266835845;Войковская;55.8190236;37.4979002;"POINT (37.4979002 55.8190236)"
266835846;Сокол;55.8052091;37.5150702;"POINT (37.5150702 55.8052091)"
267335088;Комсомольская;55.7752438;37.656081;"POINT (37.656081 55.7752438)"
267335315;Охотный Ряд;55.7578301;37.6163299;"POINT (37.6163299 55.7578301)"
267335316;Лубянка;55.7599346;37.6277544;"POINT (37.6277544 55.7599346)"
267335317;Чистые пруды;55.7658946;37.6388932;"POINT (37.6388932 55.7658946)"
268521588;Свиблово;55.8551629;37.6526719;"POINT (37.6526719 55.8551629)"
277499099;Рижская;55.7936814;37.6362941;"POINT (37.6362941 55.7936814)"
277499848;Проспект Мира;55.7809058;37.632017;"POINT (37.632017 55.7809058)"
277499852;Третьяковская;55.7411829;37.6271378;"POINT (37.6271378 55.7411829)"
277499853;Октябрьская;55.7305821;37.6111677;"POINT (37.6111677 55.7305821)"
282411334;Ленинский проспект;55.7076566;37.586119;"POINT (37.586119 55.7076566)"
291686079;Парк Культуры;55.7359131;37.5913851;"POINT (37.5913851 55.7359131)"
291686160;Октябрьская;55.7298063;37.609684;"POINT (37.609684 55.7298063)"
292143796;Новокузнецкая;55.7414147;37.629373;"POINT (37.629373 55.7414147)"
292146578;Автозаводская;55.7073793;37.6576204;"POINT (37.6576204 55.7073793)"
293799708;Проспект Мира;55.7795032;37.6317074;"POINT (37.6317074 55.7795032)"
296949290;Марьино;55.6500225;37.7431944;"POINT (37.7431944 55.6500225)"
296953130;Серпуховская;55.7281379;37.6245843;"POINT (37.6245843 55.7281379)"
296953135;Севастопольская;55.6527686;37.5982422;"POINT (37.5982422 55.6527686)"
296953137;Южная;55.6222782;37.6091324;"POINT (37.6091324 55.6222782)"
296953138;Пражская;55.612388;37.6044242;"POINT (37.6044242 55.612388)"
296959505;Щукинская;55.8085823;37.4643097;"POINT (37.4643097 55.8085823)"
297148175;Курская;55.7572847;37.6591817;"POINT (37.6591817 55.7572847)"
297773322;Крестьянская Застава;55.7333223;37.6675064;"POINT (37.6675064 55.7333223)"
300120212;Красногвардейская;55.6137894;37.7445335;"POINT (37.7445335 55.6137894)"
308993566;Кантемировская;55.6357353;37.6565408;"POINT (37.6565408 55.6357353)"
309744779;Краснопресненская;55.7607539;37.5774474;"POINT (37.5774474 55.7607539)"
309745114;Киевская;55.7446848;37.5657843;"POINT (37.5657843 55.7446848)"
309750154;Сходненская;55.8504837;37.4396698;"POINT (37.4396698 55.8504837)"
493290713;Каширская;55.6550923;37.6485671;"POINT (37.6485671 55.6550923)"
493292529;Третьяковская;55.7410073;37.6271192;"POINT (37.6271192 55.7410073)"
493293874;Китай-город;55.7555854;37.6334116;"POINT (37.6334116 55.7555854)"
596129530;Волоколамская;55.8356938;37.3820432;"POINT (37.3820432 55.8356938)"
1157975976;Белорусская;55.7766952;37.5833027;"POINT (37.5833027 55.7766952)"
1198621087;Парк Победы;55.7364372;37.5181466;"POINT (37.5181466 55.7364372)"
1272374180;Каширская;55.6550162;37.6487222;"POINT (37.6487222 55.6550162)"
2525101863;Лермонтовский проспект;55.7015808;37.8519293;"POINT (37.8519293 55.7015808)"
2692882978;Первомайская;55.7947265;37.7993959;"POINT (37.7993959 55.7947265)"
3058911918;Ростокино;55.8396775;37.6668741;"POINT (37.6668741 55.8396775)"
3224593379;Тропарёво;55.6459539;37.472545;"POINT (37.472545 55.6459539)"
3226428878;Деловой центр;55.749044;37.5393548;"POINT (37.5393548 55.749044)"
4006225428;Саларьево;55.6218839;37.4243006;"POINT (37.4243006 55.6218839)"
4379061167;Андроновка;55.7470515;37.7377294;"POINT (37.7377294 55.7470515)"
4379061169;Ботанический сад;55.8455793;37.6392062;"POINT (37.6392062 55.8455793)"
4379061172;Деловой центр;55.7475553;37.532032;"POINT (37.532032 55.7475553)"
4379061178;Кутузовская;55.7399173;37.5340531;"POINT (37.5340531 55.7399173)"
4379061184;Панфиловская;55.7990098;37.4990272;"POINT (37.4990272 55.7990098)"
4379061188;Стрешнево;55.8137004;37.4869799;"POINT (37.4869799 55.8137004)"
4379061589;Угрешская;55.7184497;37.6977066;"POINT (37.6977066 55.7184497)"
4409542907;Балтийская;55.8258614;37.4964208;"POINT (37.4964208 55.8258614)"
4833096162;Хорошёво;55.7771309;37.5073589;"POINT (37.5073589 55.7771309)"
4833132227;Новохохловская;55.724119;37.717027;"POINT (37.717027 55.724119)"
60660469;Бабушкинская;55.8696254;37.6641842;"POINT (37.6641842 55.8696254)"
68937012;Семёновская;55.7834195;37.7212469;"POINT (37.7212469 55.7834195)"
241158259;Филёвский парк;55.7394565;37.4834225;"POINT (37.4834225 55.7394565)"
241158327;Фили;55.7461002;37.5148876;"POINT (37.5148876 55.7461002)"
241158369;Кутузовская;55.7400295;37.534383;"POINT (37.534383 55.7400295)"
241158415;Студенческая;55.7388362;37.5483675;"POINT (37.5483675 55.7388362)"
242546476;Арбатская;55.7521987;37.6070395;"POINT (37.6070395 55.7521987)"
253016894;Кузьминки;55.7055467;37.7657675;"POINT (37.7657675 55.7055467)"
259786806;Новые Черёмушки;55.6701631;37.5544462;"POINT (37.5544462 55.6701631)"
265949956;Черкизовская;55.8038707;37.7449436;"POINT (37.7449436 55.8038707)"
265949958;Преображенская площадь;55.7964038;37.7155476;"POINT (37.7155476 55.7964038)"
266835848;Динамо;55.7896396;37.5581058;"POINT (37.5581058 55.7896396)"
267335089;Красносельская;55.780348;37.6676678;"POINT (37.6676678 55.780348)"
268521591;Ботанический сад;55.8451534;37.6383238;"POINT (37.6383238 55.8451534)"
268521606;ВДНХ;55.8213144;37.6411767;"POINT (37.6411767 55.8213144)"
276191299;Площадь Ильича;55.7471282;37.6833874;"POINT (37.6833874 55.7471282)"
277499850;Тургеневская;55.7664471;37.6372759;"POINT (37.6372759 55.7664471)"
278692957;Кропоткинская;55.7454887;37.603689;"POINT (37.603689 55.7454887)"
278692958;Библиотека имени Ленина;55.7512497;37.6100781;"POINT (37.6100781 55.7512497)"
278692976;Парк Культуры;55.7355311;37.5941409;"POINT (37.5941409 55.7355311)"
278693056;Фрунзенская;55.7270106;37.5784934;"POINT (37.5784934 55.7270106)"
282413851;Академическая;55.6877068;37.5731868;"POINT (37.5731868 55.6877068)"
282414382;Профсоюзная;55.6778336;37.5626938;"POINT (37.5626938 55.6778336)"
282416839;Беляево;55.6427132;37.5254991;"POINT (37.5254991 55.6427132)"
291687455;Маяковская;55.7702196;37.5951107;"POINT (37.5951107 55.7702196)"
291689166;Цветной бульвар;55.7709056;37.6177532;"POINT (37.6177532 55.7709056)"
291712231;Новоясеневская;55.6009308;37.5540749;"POINT (37.5540749 55.6009308)"
292019996;Павелецкая;55.7322275;37.6378319;"POINT (37.6378319 55.7322275)"
292147581;Коломенская;55.6784809;37.6638965;"POINT (37.6638965 55.6784809)"
294024698;Добрынинская;55.729148;37.6237142;"POINT (37.6237142 55.729148)"
296045315;Таганская;55.741645;37.6510792;"POINT (37.6510792 55.741645)"
296926132;Варшавская;55.6533475;37.6193829;"POINT (37.6193829 55.6533475)"
296932668;Бульвар Адмирала Ушакова;55.5454833;37.5431878;"POINT (37.5431878 55.5454833)"
296932670;Улица Горчакова;55.5417384;37.5306687;"POINT (37.5306687 55.5417384)"
296932673;Бунинская аллея;55.5381944;37.5165046;"POINT (37.5165046 55.5381944)"
296938973;Строгино;55.8037346;37.4031859;"POINT (37.4031859 55.8037346)"
296944258;Трубная;55.7690734;37.6194225;"POINT (37.6194225 55.7690734)"
296947177;Римская;55.746413;37.6831258;"POINT (37.6831258 55.746413)"
296947185;Дубровка;55.7189008;37.6755893;"POINT (37.6755893 55.7189008)"
296953132;Нагатинская;55.6828925;37.6223775;"POINT (37.6223775 55.6828925)"
296953139;Улица Академика Янгеля;55.5950846;37.6003221;"POINT (37.6003221 55.5950846)"
296956168;Дмитровская;55.8067137;37.5817655;"POINT (37.5817655 55.8067137)"
296956169;Савёловская;55.7924478;37.5886512;"POINT (37.5886512 55.7924478)"
296957238;Алтуфьево;55.8978483;37.5872493;"POINT (37.5872493 55.8978483)"
296957239;Бибирево;55.8838459;37.603499;"POINT (37.603499 55.8838459)"
296957241;Отрадное;55.8632079;37.6045551;"POINT (37.6045551 55.8632079)"
296959502;Планерная;55.860731;37.4363874;"POINT (37.4363874 55.860731)"
296959504;Тушинская;55.8264972;37.4368517;"POINT (37.4368517 55.8264972)"
296959507;Полежаевская;55.7775074;37.5194078;"POINT (37.5194078 55.7775074)"
296959509;Улица 1905 года;55.7646678;37.5614147;"POINT (37.5614147 55.7646678)"
296959510;Баррикадная;55.7609121;37.5799394;"POINT (37.5799394 55.7609121)"
297291268;Владыкино;55.8472112;37.5898788;"POINT (37.5898788 55.8472112)"
297335182;Воробьёвы горы;55.7103769;37.559173;"POINT (37.559173 55.7103769)"
305486163;Домодедовская;55.6108588;37.7186583;"POINT (37.7186583 55.6108588)"
308993196;Царицыно;55.6214833;37.6692504;"POINT (37.6692504 55.6214833)"
309741697;Бульвар Дмитрия Донского;55.5693137;37.5768106;"POINT (37.5768106 55.5693137)"
309748905;Октябрьское Поле;55.7933221;37.4937673;"POINT (37.4937673 55.7933221)"
309752486;Юго-Западная;55.6636035;37.4830219;"POINT (37.4830219 55.6636035)"
666528523;Сретенский бульвар;55.7668388;37.6400647;"POINT (37.6400647 55.7668388)"
773136965;Марьина Роща;55.7954952;37.6161316;"POINT (37.6161316 55.7954952)"
773136972;Достоевская;55.7812854;37.6148591;"POINT (37.6148591 55.7812854)"
1191237441;Кунцевская;55.7308185;37.4459574;"POINT (37.4459574 55.7308185)"
1221839292;Коньково;55.6330883;37.5190729;"POINT (37.5190729 55.6330883)"
1248716467;Каширская;55.6549211;37.6489379;"POINT (37.6489379 55.6549211)"
1527999934;Шипиловская;55.621144;37.743772;"POINT (37.743772 55.621144)"
1890426555;Новокосино;55.7450586;37.8640611;"POINT (37.8640611 55.7450586)"
2086260190;Пятницкое шоссе;55.8565339;37.354633;"POINT (37.354633 55.8565339)"
2525101862;Жулебино;55.685401;37.8560615;"POINT (37.8560615 55.685401)"
2591402980;Битцевский парк;55.6001108;37.5564674;"POINT (37.5564674 55.6001108)"
2692857848;Измайловская;55.7877328;37.7816023;"POINT (37.7816023 55.7877328)"
3046563958;Спартак;55.8182906;37.4356624;"POINT (37.4356624 55.8182906)"
4375793533;Шоссе Энтузиастов;55.7589041;37.7460379;"POINT (37.7460379 55.7589041)"
4379061170;Верхние Котлы;55.6901311;37.6188659;"POINT (37.6188659 55.6901311)"
4379061173;Зорге;55.7884942;37.5043625;"POINT (37.5043625 55.7884942)"
4379061174;Измайлово;55.7897913;37.743213;"POINT (37.743213 55.7897913)"
4379061179;Лихоборы;55.8471565;37.5514638;"POINT (37.5514638 55.8471565)"
4379061183;Окружная;55.8489281;37.5711327;"POINT (37.5711327 55.8489281)"
4379061185;Площадь Гагарина;55.7069679;37.5863972;"POINT (37.5863972 55.7069679)"
4379061187;Соколиная Гора;55.7713304;37.7450661;"POINT (37.7450661 55.7713304)"
4404057364;Фонвизинская;55.8229569;37.5878093;"POINT (37.5878093 55.8229569)"
4737155709;Ломоносовский проспект;55.7072008;37.5161608;"POINT (37.5161608 55.7072008)"
4833126188;Нижегородская;55.7321929;37.7281427;"POINT (37.7281427 55.7321929)"
4833137665;ЗИЛ;55.6978975;37.6475367;"POINT (37.6475367 55.6978975)"
4847996860;Бутырская;55.8134351;37.60267;"POINT (37.60267 55.8134351)"
4927798806;Киевская;55.7444057;37.565318;"POINT (37.565318 55.7444057)"
241158281;Багратионовская;55.7436954;37.4978443;"POINT (37.4978443 55.7436954)"
242546355;Электрозаводская;55.7818157;37.7036976;"POINT (37.7036976 55.7818157)"
242546357;Курская;55.7580813;37.6579471;"POINT (37.6579471 55.7580813)"
244036228;Молодёжная;55.7408429;37.4169177;"POINT (37.4169177 55.7408429)"
244036856;Пионерская;55.7359311;37.4671952;"POINT (37.4671952 55.7359311)"
252828224;Смоленская;55.7474918;37.5817388;"POINT (37.5817388 55.7474918)"
253016890;Таганская;55.7404927;37.6516778;"POINT (37.6516778 55.7404927)"
253016891;Пролетарская;55.7317991;37.6658821;"POINT (37.6658821 55.7317991)"
253016892;Волгоградский проспект;55.7252238;37.6867691;"POINT (37.6867691 55.7252238)"
253043175;Арбатская;55.7519281;37.6007612;"POINT (37.6007612 55.7519281)"
253045735;Выставочная;55.7501244;37.5413543;"POINT (37.5413543 55.7501244)"
253776238;Крылатское;55.7568353;37.4082585;"POINT (37.4082585 55.7568353)"
255744332;Перово;55.7511407;37.7865341;"POINT (37.7865341 55.7511407)"
255856078;Международная;55.7483636;37.5343712;"POINT (37.5343712 55.7483636)"
259785706;Тёплый Стан;55.6187959;37.5081601;"POINT (37.5081601 55.6187959)"
259786804;Калужская;55.6572552;37.5405847;"POINT (37.5405847 55.6572552)"
264162888;Ясенево;55.6062069;37.5337173;"POINT (37.5337173 55.6062069)"
265949954;Бульвар Рокоссовского;55.8145922;37.734442;"POINT (37.734442 55.8145922)"
266835847;Аэропорт;55.800368;37.5330889;"POINT (37.5330889 55.800368)"
267334996;Сокольники;55.7888128;37.680191;"POINT (37.680191 55.7888128)"
267335318;Красные Ворота;55.7691073;37.6488621;"POINT (37.6488621 55.7691073)"
276191013;Авиамоторная;55.7524571;37.7201118;"POINT (37.7201118 55.7524571)"
276191577;Марксистская;55.7412546;37.6534447;"POINT (37.6534447 55.7412546)"
277499098;Алексеевская;55.8087762;37.6387852;"POINT (37.6387852 55.8087762)"
277499849;Сухаревская;55.7731956;37.6310664;"POINT (37.6310664 55.7731956)"
277499854;Шаболовская;55.7199465;37.6077788;"POINT (37.6077788 55.7199465)"
278693055;Спортивная;55.7234651;37.5641092;"POINT (37.5641092 55.7234651)"
291687197;Смоленская;55.748863;37.5826924;"POINT (37.5826924 55.748863)"
292019726;Павелецкая;55.7305818;37.6374601;"POINT (37.6374601 55.7305818)"
292143794;Театральная;55.7575043;37.6190281;"POINT (37.6190281 55.7575043)"
292144111;Тверская;55.7647965;37.6061167;"POINT (37.6061167 55.7647965)"
292147587;Каширская;55.6549919;37.6487752;"POINT (37.6487752 55.6549919)"
292148161;Технопарк;55.693627;37.6644041;"POINT (37.6644041 55.693627)"
296932663;Улица Скобелевская;55.5481606;37.5545984;"POINT (37.5545984 55.5481606)"
296944266;Чкаловская;55.7568458;37.6565119;"POINT (37.6565119 55.7568458)"
296949274;Кожуховская;55.7075314;37.6845235;"POINT (37.6845235 55.7075314)"
296949278;Печатники;55.6933448;37.7267743;"POINT (37.7267743 55.6933448)"
296949283;Волжская;55.6907877;37.7532713;"POINT (37.7532713 55.6907877)"
296949285;Люблино;55.6756376;37.7618058;"POINT (37.7618058 55.6756376)"
296953126;Чеховская;55.7648945;37.6089632;"POINT (37.6089632 55.7648945)"
296953128;Боровицкая;55.7509526;37.6069566;"POINT (37.6069566 55.7509526)"
296953131;Тульская;55.7087385;37.6227879;"POINT (37.6227879 55.7087385)"
296953133;Нагорная;55.6721392;37.6101617;"POINT (37.6101617 55.6721392)"
296953134;Нахимовский проспект;55.6626899;37.6055528;"POINT (37.6055528 55.6626899)"
296953136;Чертановская;55.6404122;37.6066184;"POINT (37.6066184 55.6404122)"
296953140;Аннино;55.5825441;37.5963663;"POINT (37.5963663 55.5825441)"
296956167;Тимирязевская;55.8172505;37.5762244;"POINT (37.5762244 55.8172505)"
296956170;Менделеевская;55.7809621;37.6011125;"POINT (37.6011125 55.7809621)"
296959508;Беговая;55.7735045;37.5464401;"POINT (37.5464401 55.7735045)"
297148038;Комсомольская;55.7745814;37.6544083;"POINT (37.6544083 55.7745814)"
297366493;Новослободская;55.7797618;37.603645;"POINT (37.603645 55.7797618)"
308993125;Орехово;55.6133951;37.6945563;"POINT (37.6945563 55.6133951)"
309741829;Улица Старокачаловская;55.5688666;37.5769159;"POINT (37.5769159 55.5688666)"
309752494;Университет;55.6927208;37.5331136;"POINT (37.5331136 55.6927208)"
312814742;Петровско-Разумовская;55.835016;37.5743007;"POINT (37.5743007 55.835016)"
312816773;Полянка;55.7381116;37.6170438;"POINT (37.6170438 55.7381116)"
314679443;Каховская;55.6529714;37.5983627;"POINT (37.5983627 55.6529714)"
333159878;Братиславская;55.6597979;37.7506031;"POINT (37.7506031 55.6597979)"
349930322;Проспект Вернадского;55.6772474;37.5060071;"POINT (37.5060071 55.6772474)"
362156015;Пушкинская;55.7653483;37.6073527;"POINT (37.6073527 55.7653483)"
596129560;Митино;55.8458396;37.3621826;"POINT (37.3621826 55.8458396)"
596129789;Мякинино;55.8250825;37.3852971;"POINT (37.3852971 55.8250825)"
1158396469;Белорусская;55.7762561;37.5839635;"POINT (37.5839635 55.7762561)"
1527999919;Борисово;55.6331194;37.7433366;"POINT (37.7433366 55.6331194)"
1527999927;Зябликово;55.6123108;37.745177;"POINT (37.745177 55.6123108)"
2080924763;Алма-Атинская;55.632749;37.7660616;"POINT (37.7660616 55.632749)"
2591395115;Лесопарковая;55.5821279;37.576905;"POINT (37.576905 55.5821279)"
2692905506;Щёлковская;55.8093389;37.7986397;"POINT (37.7986397 55.8093389)"
2950850833;Парк Победы;55.73607;37.517923;"POINT (37.517923 55.73607)"
3706464707;Котельники;55.6744272;37.8579545;"POINT (37.8579545 55.6744272)"
3943961770;Румянцево;55.6330609;37.4418633;"POINT (37.4418633 55.6330609)"
4379061166;Автозаводская;55.7063123;37.6631393;"POINT (37.6631393 55.7063123)"
4379061171;Владыкино;55.8473436;37.5918934;"POINT (37.5918934 55.8473436)"
4379061176;Коптево;55.8396193;37.5201074;"POINT (37.5201074 55.8396193)"
4379061177;Крымская;55.6898387;37.6057607;"POINT (37.6057607 55.6898387)"
4379061181;Лужники;55.7206173;37.5613109;"POINT (37.5613109 55.7206173)"
4379061590;Шелепиха;55.7573004;37.5256526;"POINT (37.5256526 55.7573004)"
4397879996;Белокаменная;55.8293089;37.7024844;"POINT (37.7024844 55.8293089)"
4404055537;Петровско-Разумовская;55.8346541;37.574985;"POINT (37.574985 55.8346541)"
4488251068;Дубровка;55.712651;37.6778388;"POINT (37.6778388 55.712651)"
4737155708;Минская;55.7247619;37.4967453;"POINT (37.4967453 55.7247619)"
4737155710;Раменки;55.6976085;37.4984465;"POINT (37.4984465 55.6976085)"
4739808708;Бульвар Рокоссовского;55.817031;37.7373315;"POINT (37.7373315 55.817031)"
4833122335;Локомотив;55.804134;37.7460048;"POINT (37.7460048 55.804134)"
